names	edited_features	longest_gene_isoform
AT4G13940	33162	2479
AT2G23310	910	1936
AT1G79030	984	3802
AT1G21450	504	3100
AT1G12130	2	2365
AT4G33040	592	1265
AT4G01037	565	2049
AT1G65690	27	1748
AT5G10695	5	569
AT2G41340	4	2349
AT5G42560	1222	2405
AT4G25120	291	7956
AT5G35200	1032	3992
AT5G53890	676	3954
AT2G23808	1	290
AT1G12380	3686	3154
AT5G52220	71	619
AT5G36330	1739	1111
AT1G62080	1	707
AT3G49490	2297	3992
AT4G34250	1011	2103
AT2G34050	505	1767
AT5G57780	338	1290
AT5G41850	102	1522
AT1G56165	15	1643
AT5G48220	379	2591
AT2G32275	4	752
AT3G23805	668	912
AT5G13860	183	1544
AT3G01375	7	245
AT1G64490	385	706
AT5G47660	559	2146
AT1G69240	1	2430
AT2G09745	6	382
AT2G40715	10	2704
AT1G78730	135	1752
AT1G49350	244	2326
AT1G09630	1027	1660
AT3G51020	5	576
AT4G14710	1278	1908
AT3G03800	2	2641
AT2G18196	50	2153
AT1G51420	1	2391
AT1G23380	31	5410
AT2G02180	228	2672
AT2G10950	694	3619
AT1G29720	1	6214
AT2G46080	752	2004
AT5G09290	5	1927
AT4G31160	2076	7484
AT3G09300	1426	2821
AT2G42830	1157	3899
AT4G28180	329	921
AT1G20620	4444	3568
AT2G33420	19	3947
AT3G24730	122	1136
AT5G11030	635	4385
AT1G09540	169	1813
AT3G15770	120	1347
AT4G15260	36	1691
AT2G32680	10	2845
AT3G51220	715	942
AT1G08900	10	3570
AT4G02480	6560	7175
AT4G16957	51	2550
AT1G66530	1774	3499
AT4G14270	7785	1224
AT1G65352	114	565
AT3G20540	2427	5543
AT5G59220	521	2535
AT5G35700	728	4397
AT1G49410	2471	1728
AT1G52750	373	2875
AT1G55460	1265	1720
AT4G09984	1	1340
AT1G22840	3708	1287
AT2G02120	24	873
AT1G32280	338	812
AT1G11770	2	1772
AT5G63150	734	782
AT1G51300	228	1950
AT4G35630	2454	1663
AT4G38500	1039	3147
AT1G18620	1618	4914
AT3G02570	495	2256
AT5G63080	275	2543
AT4G21180	709	3497
AT1G06750	8	3489
AT1G58350	750	4738
AT4G01990	530	1794
AT5G63420	1179	5933
AT5G04090	818	2930
AT1G61460	38	2920
AT1G60970	60	1725
AT5G24780	46087	1611
AT1G46480	72	1661
AT4G12910	2921	3137
AT3G10100	57	3659
AT1G53460	596	2525
AT4G08790	450	3067
AT1G56418	250	506
AT2G07765	1	82
AT4G25130	1174	1576
AT3G10605	108	641
AT5G44720	1072	2579
AT4G02550	250	1858
AT3G08020	1077	4411
AT1G02410	805	2103
AT3G57630	462	4691
AT1G62130	340	6868
AT2G26860	573	1997
AT3G09400	1	2589
AT1G61350	661	2327
AT2G37380	234	1363
AT5G63140	2191	1763
AT1G50700	328	2818
AT5G61960	2852	6345
AT5G54650	741	4597
AT3G23470	1	4128
AT1G45227	260	443
AT2G18465	292	1975
AT4G16880	37	1330
AT1G19910	2118	1593
AT1G14430	210	2074
AT1G10590	2843	1556
AT4G35720	2	1494
AT3G47295	32	561
AT1G67760	66	1102
AT1G58684	34282	1629
AT5G62170	484	2746
AT5G05310	257	3469
AT2G33970	6	71
AT2G02140	4	917
AT1G66200	6659	2588
AT3G18630	232	2238
AT5G56340	799	2250
AT4G16265	229	1897
AT1G47520	66	3340
AT1G79500	825	3300
AT4G14070	622	6244
AT1G52690	1	1810
AT1G07490	2	641
AT5G36935	3	10100
AT3G24810	195	1167
AT1G13755	35	681
AT5G49570	517	4410
AT4G32212	164	2635
AT3G58130	262	2375
AT5G06475	1	495
AT4G05020	749	4172
AT1G08370	1255	2626
AT2G25620	481	2551
AT2G23290	900	1526
AT3G53110	2778	2921
AT2G30380	80	1845
AT4G20400	2671	5284
AT1G74440	87	3902
AT5G26950	7	891
AT4G16590	31	4108
AT3G17860	322	3337
AT4G09465	650	464
AT1G02690	2201	3193
AT1G62620	4	2507
AT3G19420	2321	4294
AT5G50590	3	1554
AT4G15417	6	1425
AT1G78630	2028	2074
AT1G54250	499	1750
AT1G01650	1384	5065
AT1G67350	2067	1607
AT5G38310	20	972
AT3G48320	3	1713
AT5G51450	395	5316
AT5G56490	757	2038
AT3G17210	1411	1281
AT3G52940	729	3251
AT3G62540	568	2054
AT1G26570	982	2385
AT1G63500	855	3518
AT1G72840	177	4655
AT3G48190	1033	27264
AT3G25820	4	3628
AT2G09490	1	476
AT3G58490	306	2366
AT5G53895	26	612
AT4G21300	161	2734
AT3G05580	479	3041
AT3G60300	1052	2410
AT2G12200	30	331
AT5G23670	1297	3750
AT1G65370	3845	1878
AT4G29880	32	1552
AT3G13890	370	1889
AT5G09370	813	1315
AT4G04485	1	142
AT2G32220	263	613
AT3G06880	370	5918
AT1G55870	620	3286
AT3G21400	279	1943
AT1G15060	697	3716
AT5G43180	14	1593
AT5G44630	7957	2853
AT5G09330	2861	3142
AT1G61280	73	1422
AT2G43620	25	1399
AT2G22850	1	2266
AT1G13880	979	2381
AT5G60300	350	3407
AT2G21290	899	799
AT1G21690	1395	3123
AT2G28000	6054	3042
AT4G03981	1	2846
AT3G23020	227	3120
AT3G15970	2101	2361
AT1G22220	16	1377
AT1G79800	107	825
AT3G08610	2435	1508
AT1G19720	820	3147
AT5G60978	25	356
AT1G06960	871	2020
AT4G29060	2710	4349
AT1G69450	43	3567
AT2G41880	142	2762
AT4G34360	297	2129
AT3G55880	65	2459
AT1G67970	270	2063
AT1G62720	30	1618
AT5G24355	4	759
AT3G11397	679	2065
AT5G22740	1799	5501
AT2G17990	1614	2010
AT3G13674	403	1359
AT3G16610	137	2120
AT3G44425	16	2654
AT4G38510	3623	4361
AT3G58710	50	2005
AT2G07695	78	1897
AT1G14340	122	1689
AT1G52190	2178	4551
AT4G05405	4	636
AT1G51645	26	2818
AT2G06210	2179	7784
AT1G32928	129	652
AT1G54090	390	2428
AT4G17170	695	1834
AT1G05710	1479	2472
AT1G49660	331	1267
AT2G40690	239	2542
AT1G36305	4	4853
AT4G23250	131	5022
AT1G20390	23	6067
AT2G31360	1396	2360
AT5G36440	3898	356
AT1G78560	853	2307
AT2G08360	1	356
AT1G27350	1977	1639
AT1G30270	1121	4100
AT4G25980	13	1979
AT5G58050	469	3352
AT1G08560	3224	1475
AT3G07980	849	7753
AT3G14840	3874	6101
AT5G47445	192	1571
AT4G23730	324	3037
AT4G31880	4584	5364
AT3G57160	49	1015
AT5G58250	822	1304
AT3G63500	2744	4048
AT2G21510	77	2479
AT3G61590	310	2776
AT2G29900	479	1403
AT5G02780	1	2011
AT3G53160	21	1644
AT4G05410	1393	2703
AT3G30120	7	5385
AT1G69760	283	1583
AT1G07320	2190	1562
AT2G44150	654	2973
AT5G46780	26	1230
AT5G63010	290	1500
AT3G08080	195	211
AT1G49540	784	3890
AT2G40020	497	2410
AT3G51240	1	1680
AT2G07633	3	1664
AT2G07768	11	570
AT5G43520	4	1078
AT4G15120	106	1083
AT5G13640	1979	4604
AT2G40316	649	3342
AT4G29610	730	1126
AT4G15090	888	4110
AT4G23493	5	1029
AT4G24670	297	3800
AT2G07690	2945	4516
AT2G17710	180	1150
AT1G04290	49	1236
AT4G16050	246	2131
AT5G01330	6	2656
AT4G13070	517	2056
AT5G02505	1	71
AT1G22860	880	6089
AT2G32940	476	5605
AT1G71730	1150	940
AT2G07732	66	739
AT2G05715	10	495
AT3G26680	394	3113
AT4G25600	295	2047
AT1G19730	1004	1224
AT5G37980	9	1796
AT3G04700	11	1156
AT2G23370	337	2282
AT5G04047	482	672
AT4G36110	10	939
AT1G14750	98	3310
AT2G02490	398	1243
AT3G63430	978	2330
AT5G28120	1	2961
AT4G25885	37	796
AT2G25270	1723	2844
AT5G01050	2	2801
AT5G52020	1	1107
AT4G18960	1311	5683
AT1G07610	70	701
AT2G46192	6	826
AT2G45120	196	1423
AT1G02610	27	3133
AT2G27740	62	1344
AT5G42700	398	2339
AT4G25850	169	4584
AT1G16020	653	3346
AT2G18050	159	1032
AT5G64520	210	3228
AT3G46970	3621	5239
AT5G66050	1056	2764
AT5G16570	4	3158
AT2G41940	869	1273
AT1G55450	81	2156
AT1G75020	142	2834
AT3G16710	112	1682
AT2G34770	347	2583
AT1G33030	1	1544
AT2G41850	2	2587
AT2G38695	107	2531
AT4G24580	232	6777
AT5G28650	14	1605
AT5G33382	6	4768
AT3G01070	98	1397
AT2G30860	3479	1510
AT4G10320	6671	7401
AT2G18042	37	368
AT5G15845	10	5210
AT1G52320	564	3325
AT2G18840	557	1985
AT1G33180	1	307
AT3G60990	3	1017
AT1G72275	309	1777
AT1G19397	55	936
AT3G28770	1	6758
AT1G22460	168	3370
AT4G20050	629	4283
AT2G28800	1299	3247
AT1G78880	3412	3316
AT1G67710	11	2538
AT5G47570	2772	2213
AT3G10330	766	2254
AT4G08280	485	1951
AT5G52690	2	1093
AT2G25185	28	519
AT4G16155	726	3563
AT2G28930	934	2371
AT1G63700	2103	5446
AT5G20100	37	906
AT4G03995	17	192
AT1G49580	1895	3310
AT1G21400	136	3528
AT5G36320	1317	356
AT1G15410	288	2603
AT2G29720	70	2042
AT2G16250	531	3672
AT2G40520	86	3608
AT4G04780	518	1383
AT1G79600	679	2816
AT5G13160	419	3503
AT3G02380	58	2398
AT4G32870	79	697
AT1G74930	108	1207
AT5G59650	81	4053
AT2G44620	2272	1134
AT5G52550	661	2424
AT1G19530	1	1284
AT5G65710	617	3315
AT2G37840	620	4583
AT4G02725	277	3423
AT1G17060	129	3394
AT4G13710	438	4093
AT3G19780	515	4720
AT1G26970	8	2508
AT1G20670	1002	3959
AT2G32190	212	1031
AT4G08025	353	581
AT4G21270	1569	4849
AT4G38930	518	2260
AT3G28960	23	3014
AT3G27730	78	7533
AT2G45670	1064	3885
AT1G16650	180	3487
AT3G52210	231	2510
AT1G03990	36	2876
AT3G23170	47	1041
AT5G54045	1	749
AT5G44170	256	1158
AT1G55490	4190	3698
AT2G27730	4013	2308
AT1G13300	1	1915
AT4G31800	237	2323
AT1G43840	1	2142
AT3G45780	180	7489
AT3G13530	1568	11312
AT5G48090	71	4642
AT1G13120	1021	4175
AT2G45980	866	1926
AT1G75100	143	3328
AT3G60957	5	1773
AT4G35010	29	4351
AT2G40090	372	3020
AT2G01170	160	2418
AT1G80670	1303	3377
AT1G77990	82	5585
AT4G14165	4	1161
AT4G27450	157	1632
AT5G43830	3620	2103
AT2G24570	713	2116
AT5G35410	130	3976
AT4G14610	1	2648
AT2G01910	2620	4640
AT1G04680	1223	4506
AT5G14105	563	1187
AT1G05217	4	243
AT3G09050	157	1493
AT1G29195	49	1077
AT3G19150	106	1621
AT1G80200	85	1147
AT4G16800	525	2363
AT3G08010	468	1535
AT2G14550	1	1758
AT3G20420	14	1832
AT5G56430	1	1478
AT5G65613	12	341
AT1G16030	202	2569
AT3G51060	1153	2276
AT3G03130	1442	2493
AT2G29180	260	902
AT1G16400	130	2454
AT5G49615	12	586
AT5G47480	2289	6398
AT2G14490	6	1228
AT1G16250	321	2556
AT4G26850	2913	2745
AT1G08427	1	194
AT3G19010	864	2451
AT3G05715	19	100
AT4G17960	382	1716
AT3G10360	1042	4737
AT5G54215	1	446
AT5G26673	1	302
AT3G08943	2647	3744
AT1G76670	2143	2439
AT1G71015	14	1401
AT1G14410	760	2159
AT5G59613	3790	1216
AT4G20930	349	2855
AT2G48090	12	1265
AT5G37050	6	1162
AT1G05190	1562	1602
AT1G52240	4	2574
AT5G35530	9592	2262
AT5G39710	643	2537
AT3G54280	2269	12370
AT5G13250	13	7665
AT2G07875	5	271
AT4G21470	725	2218
AT3G03440	207	3326
AT1G30890	593	1980
AT3G48930	16950	1510
AT5G42240	1771	3566
AT2G21187	6	1205
AT1G60600	205	2922
AT5G11050	36	1742
AT1G42680	20	1224
AT4G13110	142	1329
AT4G00660	2164	4485
AT3G27960	162	3019
AT5G63750	52	1947
AT5G11880	2235	2702
AT4G10440	64	2553
AT1G58290	2201	2702
AT2G36305	330	2227
AT5G57910	295	1882
AT1G32080	395	2654
AT5G33400	18	695
AT3G48450	4	1173
AT5G50410	689	1817
AT3G02870	1027	2413
AT2G34090	309	3249
AT5G60130	233	1597
AT1G68720	2598	4639
AT1G19430	737	3659
AT4G21980	1100	1472
AT5G57690	18	3001
AT5G42300	3240	2412
AT1G19420	21	2734
AT1G62930	579	2152
AT3G06270	375	2203
AT2G20960	230	3184
AT2G43490	508	4513
AT1G18070	4980	4733
AT4G13960	5	2487
AT1G45238	12	71
AT3G56900	675	3361
AT1G09677	1	524
AT1G23970	527	1878
AT4G36791	3	206
AT1G68905	10	376
AT5G40600	194	3360
AT1G12780	804	2968
AT1G72430	77	1204
AT3G14220	763	1781
AT1G31940	152	1425
AT4G22010	2820	3530
AT3G57660	2898	9704
AT1G29470	5449	4016
AT1G20930	1235	2357
AT3G14210	75	2448
AT1G20830	221	2082
AT2G39681	126	1033
AT4G02489	1	113
AT1G78960	1816	5045
AT1G68010	484	2860
AT1G05163	2	724
AT4G15093	148	1399
AT2G40190	499	2417
AT5G05805	5	353
AT3G20370	10	2018
AT3G54990	3	2804
AT5G07440	2431	2482
AT5G09270	401	2037
AT2G44360	356	964
AT1G67520	17	3729
AT1G10070	1	2384
AT3G15380	1322	3388
AT2G41080	335	1952
AT5G19350	1844	2706
AT4G29260	1208	1451
AT5G48920	6	921
AT4G00920	11	1615
AT2G26355	121	827
AT1G18193	52	656
AT4G26110	4166	3340
AT5G38000	8	1885
AT5G50870	1558	1818
AT1G20410	712	3753
AT1G27120	1271	3075
AT2G26070	673	1583
AT3G07800	457	1793
AT3G04850	221	4178
AT3G46540	289	2192
AT3G63260	747	2524
AT5G19330	3111	5225
AT5G17330	939	4165
AT5G67090	52	2452
AT3G22942	173	2127
AT4G35090	794	3192
AT4G00872	5	730
AT3G06150	383	2807
AT1G51620	1	1796
AT5G01935	1	1445
AT2G31400	2700	3900
AT2G07684	3	110
AT4G32770	308	3300
AT3G50640	21	1066
AT1G02970	332	3113
AT1G71350	1006	2916
AT2G17670	652	1957
AT1G69770	4284	5569
AT1G53600	204	2819
AT3G30384	265	349
AT4G11140	36	1768
AT4G24231	1	149
AT5G06470	51	995
AT3G59670	935	3250
AT1G01550	3141	2248
AT1G07420	944	2947
AT1G62990	126	3525
AT2G15880	96	2805
AT3G15620	183	3516
AT5G09335	4	319
AT5G49650	2296	3882
AT3G53580	2463	2503
AT1G22170	230	2058
AT3G12770	32	2331
AT4G21323	54	3755
AT4G16610	591	1085
AT1G30010	366	3234
AT5G46220	4	3429
AT2G36130	1487	1777
AT1G05120	1620	4930
AT2G38230	447	1282
AT2G17720	828	2319
AT5G50070	1	965
AT1G31440	950	2978
AT1G08333	2	227
AT1G32930	1259	2917
AT2G25482	415	555
AT1G63210	42	3666
AT2G42400	863	2693
AT2G39700	1205	1914
AT5G34881	260	492
AT4G12320	8	3092
AT1G60950	4820	984
AT5G41370	1207	4919
AT3G52490	1281	3698
AT1G32500	916	2392
AT1G09210	9114	4364
AT1G80610	470	3714
AT1G42615	5	849
AT4G28560	870	1352
AT3G29644	237	2540
AT3G27630	15	675
AT3G14067	6695	2906
AT5G64770	3	850
AT4G19230	155	2702
AT1G28960	354	2238
AT1G12570	33	3184
AT4G18240	906	5095
AT4G33355	1	833
AT5G11380	807	3522
AT5G42210	55	5117
AT1G48140	458	2223
AT4G10090	329	2232
AT3G05510	386	3148
AT3G51780	1064	1880
AT2G07721	1	967
AT5G02190	1454	1850
AT1G68650	603	2179
AT2G23840	17	2113
AT5G08590	1178	2945
AT1G77110	41	4091
AT5G15580	2313	4255
AT1G05517	1	282
AT4G04420	1	3026
AT2G35910	2	1253
AT5G18760	252	2753
AT1G09740	18	1986
AT3G57030	897	2265
AT3G61320	474	2333
AT1G04263	1	100
AT3G27640	274	3392
AT5G44050	1	4141
AT1G55180	118	2715
AT2G45405	2	426
AT2G18220	1493	3938
AT4G33050	73	2873
AT2G41020	364	3905
AT1G75000	38	1470
AT3G28460	371	2415
AT4G02560	1069	5015
AT3G53840	23	2273
AT2G19730	10866	1805
AT2G43840	15	1646
AT4G13180	27	1208
AT2G26840	417	1752
AT3G10700	332	4661
AT4G26760	4218	3278
AT2G37585	445	2180
AT1G47580	120	887
AT4G20110	2	3496
AT1G22510	346	2014
AT2G25650	456	1705
AT3G13445	873	2431
AT1G04810	2066	5386
AT5G22630	599	2184
AT5G08630	1165	5161
AT2G35540	730	2063
AT3G52705	1	318
AT4G31710	3	3841
AT5G51600	2222	3758
AT3G20310	914	2167
AT1G09415	39	654
AT5G23530	2437	1581
AT1G08280	259	2094
AT3G51550	7605	3365
AT1G29830	21	4604
AT5G39800	728	1748
AT4G25000	14	2050
AT1G04540	36	2445
AT1G63720	312	1832
AT4G33560	35	764
AT2G33380	193	1724
AT1G08950	2	71
AT3G21430	878	9910
AT5G02930	4	2069
AT3G06815	18	282
AT5G45775	9838	1590
AT1G45688	1649	1952
AT1G08180	84	957
AT3G05932	5	3222
AT1G61500	178	4165
AT5G40370	1534	1909
AT1G17450	1171	8753
AT2G24290	412	1572
AT3G46930	222	2512
AT2G44740	107	1577
AT5G14240	979	1780
AT2G08340	1	635
AT2G31010	242	6184
AT3G53530	627	1723
AT5G14410	710	801
AT2G05920	8264	3137
AT5G14060	1966	3956
AT3G57250	180	764
AT4G27050	527	2390
AT5G19810	29	1149
AT4G25434	1	2331
AT2G46440	86	3249
AT1G73380	515	1823
AT2G39280	1267	5328
AT1G23760	134	2493
AT1G33290	515	2190
AT3G03170	56	1052
AT1G77640	3	1172
AT3G02900	889	1958
AT3G61430	2400	2151
AT4G04960	420	2480
AT1G55250	1082	5696
AT5G04760	109	1257
AT1G15772	12	1074
AT5G14180	18	3385
AT4G17280	89	1764
AT1G27250	1	1066
AT3G01745	1	204
AT1G43205	1	413
AT1G57820	2588	4134
AT4G13200	646	1183
AT3G08650	2127	3070
AT5G01550	1	2400
AT3G21260	10	2141
AT5G41550	141	3592
AT3G50040	163	2171
AT3G29160	1416	3485
AT1G55960	365	2566
AT3G48650	3	1575
AT1G35780	2013	3128
AT2G34880	4	4754
AT2G22970	833	3812
AT5G37247	8	1135
AT1G52280	639	1771
AT1G55920	20	1449
AT5G63110	2116	2841
AT2G42720	125	2067
AT5G16290	1931	4034
AT2G10600	1	3123
AT4G36900	74	1213
AT5G10625	4	1030
AT3G09775	1	630
AT5G59440	762	1901
AT4G29440	450	4206
AT1G66500	190	1581
AT5G54310	1390	4284
AT5G61540	115	2689
AT1G51780	1	2074
AT4G13790	6	856
AT5G23110	1466	17575
AT3G18860	2053	6885
AT1G26900	342	1869
AT3G28130	391	3662
AT5G49100	2943	1931
AT5G49430	1052	9714
AT3G06180	226	2467
AT1G68080	362	2242
AT3G16410	146	2855
AT4G08470	247	3408
AT3G53680	796	5430
AT5G10990	7	903
AT4G16230	6	1872
AT4G04330	19	2064
AT3G62120	4412	3362
AT3G21200	435	1985
AT5G02400	26	2779
AT3G57640	4	1527
AT2G01510	158	2951
AT5G01790	728	1235
AT4G00730	1697	5351
AT4G16900	293	4743
AT4G00780	39	1905
AT5G07525	2	507
AT2G01260	252	2693
AT5G60870	331	2169
AT3G06090	39	298
AT4G35540	227	1763
AT2G30000	406	1201
AT1G04860	775	4067
AT2G05025	30	1502
AT1G70920	9	2771
AT1G55210	1580	1034
AT2G24750	15	6984
AT4G38460	838	1483
AT4G33870	12	1973
AT2G23320	806	1486
AT5G37850	498	3794
AT1G55790	8	2250
AT5G64150	301	2463
AT2G18620	9	1363
AT2G02560	4340	7923
AT2G15390	1	2040
AT4G13500	104	1166
AT5G45560	512	5661
AT4G17520	8283	2295
AT5G11390	550	3285
AT1G54100	2154	4261
AT2G26000	371	4194
AT1G68760	116	923
AT4G37295	3	795
AT1G74040	933	3673
AT5G17660	360	2427
AT1G43620	845	4875
AT3G47600	1015	2018
AT5G18660	635	1590
AT5G61060	1693	4288
AT1G61020	1	73
AT1G55310	1552	3309
AT2G25080	1008	2229
AT2G10285	1	676
AT1G47970	4629	1869
AT3G27740	2747	2705
AT1G29690	594	3133
AT5G09850	989	3238
AT3G03225	20	1513
AT3G10920	3577	1952
AT2G46270	955	3223
AT3G21330	84	1946
AT4G28703	128	863
AT2G46580	314	1482
AT1G29660	1049	2330
AT1G02816	253	1601
AT5G49950	450	3916
AT4G23490	1174	2941
AT1G54260	228	2481
AT5G09700	5	1921
AT5G55700	506	3230
AT1G78930	192	2853
AT2G21180	282	971
AT3G51390	327	2575
AT5G26280	8	2081
AT3G03965	47	521
AT3G11530	695	2006
AT5G61780	5169	5766
AT2G37510	283	1626
AT5G09990	305	508
AT4G27560	1067	1803
AT5G61350	1	2876
AT5G07152	11	2592
AT5G28060	11571	1459
AT5G03960	4	2006
AT2G34224	10	588
AT3G45900	449	2214
AT5G10720	3	4785
AT2G46750	1	3030
AT5G12970	983	3299
AT3G54340	914	2174
AT4G02990	718	2304
AT3G20340	7	761
AT3G47060	937	4040
AT3G04050	6	1955
AT4G14110	1520	2108
AT5G36661	1155	356
AT4G16370	657	3041
AT1G03440	433	2146
AT5G58700	196	3564
AT1G13200	50	1307
AT5G22610	6	1759
AT5G38150	742	2325
AT1G05043	11	568
AT5G15280	545	4021
AT3G54780	49	2705
AT3G10470	6	1713
AT1G09537	9	442
AT5G08010	439	2779
AT1G26170	1327	7411
AT5G10730	1033	2577
AT4G18372	151	1023
AT3G49850	486	2003
AT3G55580	72	3239
AT3G61990	43	1964
AT4G21680	10	2452
AT2G19780	250	2560
AT4G17650	594	2301
AT5G08050	376	994
AT4G17486	760	2226
AT3G21700	178	2375
AT2G21050	526	2580
AT1G69270	126	2052
AT1G10700	224	2440
AT3G44405	4	1281
AT1G01300	3853	2061
AT1G07830	966	1677
AT4G12100	18	1789
AT5G09460	1584	3101
AT1G65540	998	4411
AT1G80970	70	1889
AT3G13062	441	2884
AT4G37630	198	2096
AT3G02340	556	1883
AT4G30980	221	2981
AT3G59220	36	1977
AT1G73066	165	2293
AT5G56280	1362	2221
AT2G43810	1545	2098
AT1G27030	143	2533
AT1G49950	1682	3247
AT2G33000	14	2402
AT4G15080	2111	4105
AT5G14470	7	1906
AT3G25740	52	2021
AT1G08450	244	4132
AT5G66675	362	2225
AT4G04221	33	3327
AT5G62950	761	1874
AT3G58680	3406	1725
AT1G27385	407	2372
AT3G09160	2	1276
AT4G03390	1103	4788
AT3G50270	146	1710
AT5G40850	1228	3416
AT1G61420	39	4027
AT4G03330	5	1466
AT3G05060	4814	3189
AT2G22821	14	828
AT1G63400	503	2306
AT4G37225	4	694
AT1G43245	303	2545
AT3G58350	22	1529
AT4G10650	51	2458
AT4G37680	1480	2318
AT3G29380	2	1117
AT2G33110	353	2375
AT4G16180	1957	5863
AT5G45770	39	1588
AT2G35230	592	2174
AT4G16146	387	2511
AT1G08150	3	3037
AT4G12900	110	1568
AT3G20660	203	3760
AT5G10440	149	2066
AT3G25760	90	1559
AT3G19330	245	2033
AT4G28570	303	3252
AT5G18270	44	2095
AT3G60710	3	1309
AT3G07360	1010	2225
AT2G24590	1986	1553
AT3G29173	2	774
AT1G16240	1452	2001
AT2G05753	2	546
AT5G12840	741	2911
AT3G03140	970	3653
AT1G16960	154	1146
AT2G26490	2	1893
AT1G03260	285	3042
AT4G24120	2171	3161
AT1G49870	1146	3633
AT1G10210	322	2098
AT5G37474	104	443
AT5G41200	3	992
AT4G05655	5	350
AT4G39110	67	3245
AT5G53150	1052	4237
AT1G69850	300	4144
AT4G23670	1834	1475
AT2G23770	6	2506
AT5G18810	130	2681
AT1G14980	6216	1450
AT2G32295	215	3407
AT1G16730	14	1038
AT1G29950	1416	2900
AT1G29390	487	1837
AT4G00620	983	2302
AT4G38960	185	2438
AT5G07675	1	72
AT2G17080	1	989
AT5G47930	11539	1369
AT5G01880	208	1357
AT1G73950	465	4984
AT1G13700	72	1548
AT4G23355	90	1878
AT4G11820	1016	3565
AT4G35260	2107	2229
AT4G24440	1231	1604
AT2G47260	149	2296
AT5G18475	122	1883
AT2G39910	366	2452
AT1G22540	202	2623
AT2G29910	312	2094
AT5G60280	223	2311
AT4G27410	58	1978
AT2G27600	3213	3096
AT1G13000	400	3538
AT1G43690	1731	4700
AT1G61795	2	1452
AT3G47490	388	2837
AT2G18630	1548	2547
AT5G17270	811	5872
AT5G10310	238	941
AT5G47960	11	1193
AT1G62960	629	2240
AT5G66230	1959	2764
AT1G06200	1520	2738
AT5G61690	70	4291
AT1G03030	451	2499
AT4G15610	89	2182
AT4G30390	297	1176
AT2G18850	550	3162
AT5G04781	140	1240
AT1G76230	2	813
AT3G26700	141	3092
AT1G74290	38	2432
AT2G40120	152	2708
AT1G10800	1	816
AT4G21310	25	1037
AT1G72070	4	1297
AT3G51330	29	3175
AT3G52900	184	949
AT4G21630	30465	3290
AT1G63530	1	2271
AT5G62080	1	1013
AT3G26780	1334	1915
AT4G30935	772	2343
AT5G66860	1525	1716
AT5G59060	3	480
AT1G70185	1	336
AT1G78050	306	2174
AT5G66360	315	1698
AT4G01960	1022	2415
AT3G17060	4	1826
AT1G79430	106	2051
AT2G27030	2350	2391
AT5G58412	948	695
AT4G23570	912	3186
AT1G77210	38	3157
AT1G29790	1439	2405
AT5G46390	249	2877
AT1G51680	882	2991
AT4G31248	2	1671
AT5G18670	2343	2239
AT1G72710	3115	4533
AT3G53500	2900	2848
AT1G08260	1419	18038
AT2G04460	7	1461
AT2G04850	119	1667
AT4G11530	6	2955
AT3G15120	2148	7872
AT3G06680	1554	797
AT2G21520	5203	3717
AT5G06180	225	2925
AT2G23530	442	2486
AT4G35880	1130	2759
AT1G13100	137	1866
AT1G09783	9	1581
AT1G42440	1816	4908
AT2G44430	1052	2994
AT3G01800	457	2079
AT5G66990	8	1105
AT2G42800	1394	2359
AT1G23110	2	1777
AT1G73010	63	1820
AT3G14400	1634	4029
AT4G03205	446	2117
AT1G18800	1978	2533
AT3G30802	3	4845
AT5G05590	765	2098
AT4G31890	125	3292
AT2G42100	1	1734
AT1G51130	393	2525
AT2G43130	459	1420
AT2G46160	860	1606
AT5G48780	25	2362
AT1G73640	31	1455
AT4G22320	392	1965
AT2G29210	2636	4388
AT2G12430	9	2309
AT5G15490	1947	2607
AT1G76370	1	2250
AT1G20130	2	2480
AT5G10760	2	2067
AT1G53190	704	3260
AT4G38780	738	9786
AT1G31720	6	2010
AT1G26960	404	1675
AT3G54050	595	1943
AT1G62800	19	3843
AT3G56950	674	1564
AT2G35945	1	1245
AT1G32575	2	1080
AT5G66052	364	798
AT5G52170	10	6040
AT1G10417	33	3345
AT5G14040	10397	2476
AT3G12040	67	1720
AT1G13080	76	1994
AT5G61340	255	1538
AT3G10185	11	757
AT3G10050	1520	3323
AT1G68875	1	725
AT1G60360	38	1229
AT1G07070	950	1396
AT2G37070	86	2994
AT5G54430	3937	2931
AT2G24550	190	1631
AT3G13170	25	2811
AT5G54710	6	3095
AT1G65300	1	928
AT3G08115	1	991
AT5G37410	80	2112
AT4G24140	29	4063
AT5G43990	1746	4319
AT1G25155	328	2129
AT1G14040	376	4609
AT2G14220	88	2968
AT5G38180	9	433
AT5G22940	2563	2538
AT1G53510	1204	4059
AT1G60190	5	2421
AT1G29350	6617	5400
AT4G21430	932	4475
AT3G15115	25	1504
AT3G26600	555	2488
AT2G31280	963	4892
AT1G19396	39	2010
AT4G01985	8	2078
AT3G28150	14	2110
AT5G23770	32	2532
AT2G36580	3502	3964
AT1G79330	60	1766
AT3G03825	4	317
AT1G66180	1368	1718
AT1G27060	58	1766
AT1G06640	441	2486
AT2G39220	1019	2287
AT2G46100	35	1344
AT5G12890	147	1832
AT5G43440	10	1445
AT5G05610	2344	2218
AT5G47640	269	1045
AT1G20890	192	1583
AT1G03070	44	1735
AT5G04520	172	1219
